Sales,Discount,Order_Year,Order_Month,Order_DayOfWeek,Order_Quarter,Is_EndOfYear,Delivery_Days,Ship Mode,Segment,City,Region,Sub-Category,State,Product ID,Customer ID,is_profitable
261.96,0.0,2016,11,1,4,0,3,Second Class,Consumer,Henderson,South,Bookcases,Kentucky,FUR-BO-10001798,CG-12520,1
731.94,0.0,2016,11,1,4,0,3,Second Class,Consumer,Henderson,South,Chairs,Kentucky,FUR-CH-10000454,CG-12520,1
957.5775,0.45,2015,10,6,4,0,7,Standard Class,Consumer,Fort Lauderdale,South,Tables,Florida,FUR-TA-10000577,SO-20335,0
48.86,0.0,2014,6,0,2,0,5,Standard Class,Consumer,Los Angeles,West,Furnishings,California,FUR-FU-10001487,BH-11710,1
1706.184,0.2,2014,6,0,2,0,5,Standard Class,Consumer,Los Angeles,West,Tables,California,FUR-TA-10001539,BH-11710,1
71.372,0.3,2017,7,6,3,0,2,Second Class,Consumer,Philadelphia,East,Chairs,Pennsylvania,FUR-CH-10002774,SF-20065,0
1044.63,0.0,2015,9,4,3,0,5,Standard Class,Consumer,Orem,West,Tables,Utah,FUR-TA-10000577,EB-13870,1
3083.43,0.5,2015,9,3,3,0,4,Standard Class,Consumer,Philadelphia,East,Bookcases,Pennsylvania,FUR-BO-10004834,TB-21520,0
124.2,0.2,2015,9,3,3,0,4,Standard Class,Consumer,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10004848,TB-21520,1
190.92,0.6,2016,12,3,4,1,2,First Class,Corporate,Richardson,Central,Furnishings,Texas,FUR-FU-10003664,GH-14485,0
532.3992,0.32,2015,12,6,4,1,4,Standard Class,Home Office,Houston,Central,Bookcases,Texas,FUR-BO-10002545,SN-20710,0
212.058,0.3,2015,12,6,4,1,4,Standard Class,Home Office,Houston,Central,Chairs,Texas,FUR-CH-10004218,SN-20710,0
6.16,0.0,2015,4,5,2,0,4,Standard Class,Consumer,New Albany,Central,Furnishings,Indiana,FUR-FU-10001706,DP-13000,1
89.99,0.0,2015,4,5,2,0,4,Standard Class,Consumer,New Albany,Central,Chairs,Indiana,FUR-CH-10003061,DP-13000,1
319.41,0.1,2016,6,4,2,0,1,First Class,Consumer,Troy,East,Chairs,New York,FUR-CH-10003968,TB-21055,1
79.76,0.0,2015,11,1,4,0,6,Standard Class,Consumer,Los Angeles,West,Furnishings,California,FUR-FU-10000397,KM-16720,1
213.115,0.3,2015,4,3,2,0,5,Standard Class,Home Office,Chicago,Central,Chairs,Illinois,FUR-CH-10001146,PS-18970,0
831.936,0.2,2015,4,6,2,0,6,Standard Class,Consumer,Memphis,South,Chairs,Tennessee,FUR-CH-10000513,JE-15745,0
97.04,0.2,2015,4,6,2,0,6,Standard Class,Consumer,Memphis,South,Furnishings,Tennessee,FUR-FU-10003708,JE-15745,1
9.708,0.6,2017,12,5,4,1,2,First Class,Corporate,Houston,Central,Furnishings,Texas,FUR-FU-10000260,KB-16600,0
19.3,0.6,2014,11,2,4,0,5,Second Class,Consumer,Houston,Central,Furnishings,Texas,FUR-FU-10003194,JE-15745,0
301.96,0.0,2017,5,6,2,0,2,Second Class,Consumer,Columbia,South,Chairs,South Carolina,FUR-CH-10000863,PO-18865,1
53.34,0.0,2015,1,5,1,0,5,Second Class,Consumer,Minneapolis,Central,Furnishings,Minnesota,FUR-FU-10003799,KB-16315,1
96.53,0.0,2017,11,3,4,0,2,Second Class,Home Office,New York City,East,Furnishings,New York,FUR-FU-10000629,PN-18775,1
