Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Sub-Category,Sales,Discount,Profit,is_profitable,Order_Year,Order_Month,Order_DayOfWeek,Order_Quarter,Is_EndOfYear,Delivery_Days,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,Quarter_sin,Quarter_cos,State_Avg_Sales,Category_Avg_Sales,High_Discount
2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Bookcases,261.96,0.0,41.9136,1,2016,11,1,4,0,3,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,404.228,567.2388333333333,0
2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Chairs,731.94,0.0,219.582,1,2016,11,1,4,0,3,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,404.228,610.1385110497238,0
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furnishings,48.86,0.0,14.1694,1,2014,6,0,2,0,5,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,333.32167002881846,98.45908322663252,0
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-TA-10001539,Tables,1706.184,0.2,85.3092,1,2014,6,0,2,0,5,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,333.32167002881846,885.8187105263157,0
2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,Orem,Utah,West,FUR-TA-10000577,Tables,1044.63,0.0,240.2649,1,2015,9,4,3,0,5,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,688.907142857143,885.8187105263157,0
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furnishings,124.2,0.2,15.525,1,2015,9,3,3,0,4,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,76.22222222222223,98.45908322663252,0
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furnishings,6.16,0.0,2.9568,1,2015,4,5,2,0,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,499.85695652173916,98.45908322663252,0
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Chairs,89.99,0.0,17.0981,1,2015,4,5,2,0,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,499.85695652173916,610.1385110497238,0
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,FUR-CH-10003968,Chairs,319.41,0.1,7.098,1,2016,6,4,2,0,1,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,353.64750793650796,610.1385110497238,0
2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furnishings,79.76,0.0,22.3328,1,2015,11,1,4,0,6,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,98.45908322663252,0
2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furnishings,97.04,0.2,1.213,1,2015,4,6,2,0,6,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,175.9742857142857,98.45908322663252,0
2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Chairs,301.96,0.0,33.2156,1,2017,5,6,2,0,2,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,513.0416666666666,610.1385110497238,0
2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furnishings,53.34,0.0,16.5354,1,2015,1,5,1,0,5,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,585.4884615384616,98.45908322663252,0
2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,New York City,New York,East,FUR-FU-10000629,Furnishings,96.53,0.0,40.5426,1,2017,11,3,4,0,2,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,353.64750793650796,98.45908322663252,0
2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furnishings,41.96,0.0,10.9096,1,2017,12,0,4,1,5,0.0,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,353.64750793650796,98.45908322663252,0
2015-03-02,2015-03-06,Standard Class,DK-13090,Consumer,Seattle,Washington,West,FUR-TA-10001768,Tables,787.53,0.0,165.3813,1,2015,3,0,1,0,4,0.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,435.3106534653465,885.8187105263157,0
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,Furnishings,47.04,0.0,18.3456,1,2016,6,6,2,0,3,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,265.565,98.45908322663252,0
2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,Los Angeles,California,West,FUR-FU-10003773,Furnishings,238.56,0.0,26.2416,1,2016,11,6,4,0,4,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,98.45908322663252,0
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,FUR-FU-10001706,Furnishings,43.12,0.0,20.6976,1,2016,10,3,4,0,6,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,333.32167002881846,98.45908322663252,0
